Date,Time,PWM1,RPM,KNOTS,PWM2,RPM2,KNOTS2
01-01-1970,00:00:08,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:09,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:10,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:11,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:12,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:13,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:14,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:15,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:16,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:17,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:18,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:19,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:20,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:21,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:22,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:23,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:24,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:25,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:26,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:27,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:28,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:29,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:30,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:31,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:32,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:33,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:34,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:35,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:36,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:37,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:38,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:39,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:40,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:41,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:42,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:43,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:44,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:45,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:46,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:47,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:48,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:49,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:50,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:51,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:52,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:53,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:54,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:55,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:56,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:57,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:58,158,3098,61.96,158,3098,61.96
01-01-1970,00:00:59,158,3098,61.96,158,3098,61.96
01-01-1970,00:01:00,158,3098,61.96,158,3098,61.96
01-01-1970,00:01:01,158,3098,61.96,158,3098,61.96
01-01-1970,00:01:02,158,3098,61.96,158,3098,61.96
01-01-1970,00:01:03,158,3098,61.96,158,3098,61.96
01-01-1970,00:01:04,158,3098,61.96,158,3098,61.96
01-01-1970,00:01:05,158,3098,61.96,158,3098,61.96
01-01-1970,00:01:06,158,3098,61.96,158,3098,61.96
01-01-1970,00:01:07,158,3098,61.96,158,3098,61.96
01-01-1970,00:01:08,158,3098,61.96,158,3098,61.96
01-01-1970,00:01:09,158,3098,61.96,158,3098,61.96
01-01-1970,00:01:10,158,3098,61.96,158,3098,61.96
01-01-1970,00:01:11,158,3098,61.96,158,3098,61.96
01-01-1970,00:01:12,158,3098,61.96,158,3098,61.96
01-01-1970,00:01:13,158,3098,61.96,158,3098,61.96
01-01-1970,00:01:14,201,3941,78.82,158,3098,61.96
01-01-1970,00:01:15,223,4372,87.44,158,3098,61.96
01-01-1970,00:01:16,218,4274,85.48,218,4274,85.48
01-01-1970,00:01:17,229,4490,89.8,228,4470,89.4
